service_id,date,exception_type
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10-B_SEPT22-TAD05-Samedi-00,20230429,1
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10-B_SEPT22-TAD05-Samedi-00,20230506,1
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10-B_SEPT22-TAD05-Samedi-00,20230513,1
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10-B_SEPT22-TAD05-Samedi-00,20230520,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230504,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230505,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230511,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230512,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230502,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230509,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230515,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,20230516,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230505,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230512,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230502,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230509,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230516,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230503,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230510,1
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,20230517,1
